time,node,idleness,t_imp,visits
500.0000045,0,0,0,inf
500.0000045,4,0,0,inf
500.0000045,20,0,0,inf
500.0000045,24,0,0,inf
500.0000045,1,500.0000045,0,0
500.0000045,2,500.0000045,0,0
500.0000045,3,500.0000045,0,0
500.0000045,5,500.0000045,0,0
500.0000045,6,500.0000045,0,0
500.0000045,7,500.0000045,0,0
500.0000045,8,500.0000045,0,0
500.0000045,9,500.0000045,0,0
500.0000045,10,500.0000045,0,0
500.0000045,11,500.0000045,0,0
500.0000045,12,500.0000045,0,0
500.0000045,13,500.0000045,0,0
500.0000045,14,500.0000045,0,0
500.0000045,15,500.0000045,0,0
500.0000045,16,500.0000045,0,0
500.0000045,17,500.0000045,0,0
500.0000045,18,500.0000045,0,0
500.0000045,19,500.0000045,0,0
500.0000045,21,500.0000045,0,0
500.0000045,22,500.0000045,0,0
500.0000045,23,500.0000045,0,0
